Timestamp,Name,Summary,Website,Contact,Email,Phone,Street Address,City,State,Zip code,Latitude,Longitude,Category,Accuracy
,Group Against Smog and Pollution,"GASP is a non-profit citizensâ group working for a healthy sustainable environment. GASP is a diligent watchdog, educator, litigator and policy-maker on many environmental issues with a focus on air quality in Pittsburgh",http://gasp-pgh.org/about/,Joe Osborne,"joe@gasp-pgh.org, info@gasp-pgh.org",(412) 924-0604,5135 Penn Avenue,Pittsburgh,PA,15224,40.463463,-79.94612,Advocacy,Zipcode
,Harrison County Recorder's Office,,,Tracy L Boyer,hcrec@frontier.com,740-942-8869,100 West Market Street,Cadiz,OH,43907,40.2728728,-80.9970579,Education,Municipality
,"Hydraulic Fracturing in Michigan"" Integrated Assessment","A unique partnership involving several University of Michigan units, industry representatives, environmental organizations, and state regulators has formed to examine the multiple aspects of this gas extraction technique, with an emphasis on impacts and issues related to the State of Michigan. Using an engaged problem-solving approach called integrated assessment, the project will first compile technical reports on key topics then focus on an analysis of policy options for Michigan.",http://www.graham.umich.edu/ia/hydraulic-fracturing.php,Graham Sustainability Institute,grahaminstitute-ia@umich.edu,(734) 615-8230,"625 E. Liberty St., Suite 300",Ann Arbor,MI,48104,42.266805,-83.72297,Education,Zip code
,ICARE (Idaho Concerned Area Residents for the Environment),An Idaho Non-Profit Corporation,,Alma Hasse,idahocare@yahoo.com,208-695-1556,Post Office Box 922,Fruitland,Idaho,83619,44.0161,-116.9214,Advocacy,zip code
,Illinois State Geological Survey,Bedrock Geology and Industrial Materials,,Zakaria Lasemi,zlasemi@illinois.edu,217-244-6944,615 East Peabody,Champaign,IL,61820,40.101472,-88.229993,Government,Zipcode
,Izaack Walton League,"The Izaak Walton League is a conservation organization guided by grassroots volunteers. In 250 communities, they advance the mission of restoring watersheds, protecting wildlife and open spaces, instilling conservation ethics and defending wild America by changing public policy.",http://www.iwla.org/,Dawn Merritt,dmerritt@iwla.org,(301) 548-0150 x220,"IWLA National Office 
707 Conservation Lane",Gaithersburg,MD,20878,39.11755,-77.23548,Advocacy,Zipcode
,"Izaak Walton League of America, Harry Enstrom Chapter (Greene County, PA)","To conserve, maintain, protect, and restore the soil, forest, water, and other natural resources of the United States and other lands; to promote means and opportunities for the education of the public with respect to such resources and their enjoyment and wholesome utilization.",https://sites.google.com/site/harryenstromchapter/,,harryenstromiwla@gmail.com,,P.O. Box 23,Jefferson,PA,15344,39.92757,-80.05491,Advocacy,Zip code
,Jacob's Creek Watershed Association,"Jacobs Creek Watershed Association is a non-profit organization dedicated to the conservation of our natural resources, rehabilitation of the creek and watershed, environmental education and recreation.",http://www.jacobscreekwatershed.org/,,admin@jacobscreekwatershed.org,724-887-8220,10 Mt. Pleasant Road,Scottdale,PA,15683,40.103791,-79.59396,Advocacy,Zip code
,Kent State University,Biological Sciences,,Roxanne Burns,rhburns@kent.edu,,400 East 4th Street,East Liverpool,OH,43920,40.6172722,-80.5770299,Education,Municipality
,"Kiski-Conemaugh Stream Team, a program of the Conemaugh Valley Conservancy","The mission is to promote the conservation and preservation of natural, cultural and historic resources and encouraging prudent land-use practices in the Kiski-Conemaugh River Basin",http://www.conemaughvalleyconservancy.org/conservation/kcst.html,,info@conemaughvalleyconservancy.org,,1800 Somerset Avenue,Windber,PA,15963,40.228222,-78.81978,Advocacy,Zip code
10/22/2013 10:43,Land Stewardship Project,"Land Stewardship Project members are working to stop frac sand mining, processing and transportation with a concentrated focus on local organizing in southeast Minnesota and development of good public policy on a statewide basis in Minnesota.",landstewardshipproject.org,Johanna Rupprecht,jrupprecht@landstewardshipproject.org,507-523-3366,"180 East Main Street, PO Box 130",Lewiston,MN,55952,43.9847,-91.867,Advocacy,Address
10/22/2013 10:45,Land Stewardship Project,"Land Stewardship Project members are working to stop frac sand mining, processing and transportation with a concentrated focus on local organizing in southeast Minnesota and development of good public policy on a statewide basis in Minnesota.",landstewardshipproject.org,Johanna Rupprecht,jrupprecht@landstewardshipproject.org,612-722-6377,"821 East 35th Street, Suite 200",Minneapolis,MN,55407,44.9392,-93.2614,Advocacy,Address
,League of Women Voters,"The League of Women Voters is a citizensÂ organization that has fought since 1920 to improve our government and engage all citizens in the decisions that impact their lives.  We operate at national, state and local levels through more than 800 state and local Leagues, in all 50 states as well in DC, Puerto Rico, the Virgin Islands and Hong Kong.",http://www.lwv.org/,,,202-429-1965,"1730 M Street NW, Suite 1000",Washington,DC,20036,38.906778,-77.04148,Advocacy,Zip code
,Lehigh Valley Gas Truth,,http://www.gastruth.org/,,,,260 East Main Street,Kutztown,PA,19530,40.522745,-75.77248,Press,Address
,Lenape Nation,Chief Shelley DePaul,http://www.lenapenation.org/main.html,,,,,Saylorsburg,PA,18353,40.896252,-75.328464,Advocacy,Zip Code
,Local Government Academy,,,Susan Hockenberry,shockenberry@localgovernmentacademy.org,412-586-5659,901 Western Avenue,Pittsburgh,PA,15233,40.4516763,-80.0165003,Advocacy,Municipality
,Loyalhanna Watershed Association,"In 1971, the Loyalhanna Watershed Association (LWA) was founded to address the various pollution impacts throughout the watershed and to preserve natural areas. The LWA strives to achieve its mission via the coordinated efforts of its 900+ members, 15 board members, three full-time staff, and the support of multiple partnering organizations.",http://loyalhannawatershed.org/,Susan Huba,susan@loyalwater.com,724-238-7560,110 Andi Lane,Ligonier,PA,15658,40.247351,-79.22882,Advocacy,Zip code
,Mahoning Vally Organizing Collaborative,,,Adam Keck,adam@mvorganizing.org,330-506-4613,"25 East Boardman Street, Suite 428",Youngstown,OH,44503,41.0990392,-80.649714,Advocacy,Municipality
,MAP-Tompkins,"We are a group of local citizens concerned about the effects of gas drilling on our health, safety, and quality of life. We think that both lease holders and non-lease holders can agree that our clean water, clean air, and the beauty of our region should not be destroyed as gas drilling moves into the region.",http://www.tcgasmap.org/,,tcgasmap@frontier.com,,320 N. Tioga Street,Ithaca,NY,14850,42.449454,-76.49685,Advocacy,Zip code
,Marcellus Protest,,http://www.marcellusprotest.org/,,,,5129 Penn Avenue,Pittsburgh,PA,15224,40.465042,-79.941707,Press,Address
,Marcellus-Shale.US,"This website is dedicated to providing photos, facts, opinions, stories and news about the Marcellus Shale gas play that you won't find other places. You'll find extensive photos of gas drilling sites, pipeline construction, well sites and compressor stations. News, facts and opinions about hydraulic fracturing. Public Meeting announcements related to Marcellus Shale.",http://www.marcellus-shale.us/,,marcellus_shale1@yahoo.com,,,,PA,,40.8967018,-77.8388977,Education,State
,Marcy Kaptur's Office,Congresswoman for northern Ohio,,Jane Ruvolo,Jane.Ruvolo@mail.house.gov,419-259-7500,One Maritime Plaza,Toledo,OH,43604,41.6538243,-83.5283025,Government,Municipality
,Mars Parent Group,Create a 2mile frack-free zone around our children,www.marsparentgroup.com,,,,,Mars,PA,16046,40.6957,-80.0336,Advocacy,zip code
,Midwest Environmental Advocates,Wisconsin Environmental Issues,,Sarah Williams,advocate@midwestadvocates.org,608-251-5047,612 West Main Street,Madison,WI,53703,43.067685,-89.392209,Advocacy,Zipcode
,"Mon River QUEST, WVU",The Mon River QUEST is a comprehensive water quality monitoring and reporting project for the Monongahela River being undertaken by the West Virginia Water Research Institute (WVWRI). Bi-weekly samples are collected and lab-analyzed with the resultant da,http://www.monriverquest.com/,"Paul F. Ziemkiewicz, Ph.D., WVWRI Director",Paul.Ziemkiewicz@mail.wvu.edu,304-293-6958,,Morgantown,WV,,39.630371,-79.957849,Scientific,Municipality
,Mountain Ridge Pre-Fracking Baseline,To provide accurate information to the public regarding fracking and water quality.,http://www.statefarmyab.com/projects/details/mountain-ridge-high-school-pre-hydraulic-fracturing-baseline-water-quality-/,Tom Kozikowski,thomas.kozikowski@acps.k12.md.us,301-689-3377,"Mountain Ridge High School, 100 Grasmick Lane",Frostburg,Maryland,21532,39.649143,-78.913519,Education,Address
,Mountain Watershed Association,"The Mountain Watershed Association is concerned with the conservation, restoration and protection of the Indian Creek Watershed in Westmoreland and Fayette Counties, Pennsylvania.",http://www.mtwatershed.com/,"Beverly Braverman, Executive Director",,724-455-4200,1414-B Indian Creek Valley Rd.,Melcroft,PA,15462,40.061931,-79.38538,Advocacy,Zip code
,Natural Resources Defense Council,"NRDC is the nation's most effective environmental action group, combining the grassroots power of 1.3 million members and online activists with the courtroom clout and expertise of more than 350 lawyers, scientists and other professionals.",http://www.nrdc.org/,Jessie Rossman,jrossman@nrdc.org,312-651-7923,2 North Riverside Plaza,Chicago,IL,60606,41.882207,-87.639394,Advocacy,Municipality
,NEPAGasAction,"Citizens for Clean Water is a group of people, mostly Susquehanna County residents, who came together through the SusquehannaCoGasForum. This website is designed and maintained by CCW volunteers who see the need for a public site in addition to that foru",http://nepagasaction.org/,Vera Scroggins,veraduerga@yahoo.com,607-237-9685,,,PA,,41.8209991,-75.8013,Advocacy,County
,New York German Press,"nygp is the main independent press agency covering the U.S. financial markets for German language media. Located in the heart of the financial district, nygp is covering trends and developments in the U.S. securities market â Wall Street â as well as the broader aspects of the U.S. economy. Our coverage consists in monitoring market movements as well as events impacting the U.S. financial markets.",http://www.newyorkgermanpress.com/en/2010/05/new-york-german-press/,Heike Buchter,hbuchter@newyorkgermanpress.com,212-269-3438,"11 Broadway, Suite 410",NY,NY,10004,40.7054388,-74.0140021,Press,Municipality
,Northern Illinois University,Ecosystem Services and Fracking,,David Murphy,djmurphy@niu.edu,,"Department of Geography, Davis Hall, Room 118",DeKalb,IL,60115,41.9308097,-88.7807941,Education,Municipality
,NYRAD,"The goal for NYRAD are to educate ourselves and our neighbors about the long-term negative economic, environmental, health, and community impacts of gas extraction by hydraulic fracturing; advocate for legislation to safeguard our communities from these",http://www.nyrad.org/,,info@nvrad.org,,,Binghamton,NY,,42.098684,-75.91127,Advocacy,Municipality
,ODNR Geological Survey,Bedrock Geology & Mapping,,Mike Angle,mike.angle@dnr.state.oh.us,614-265-6602,2045 Morse Road,Columbus,OH,43229-6693,40.0594348,-82.9650085,Government,Municipality
,"ODNR, Division of Mineral Resources Management, Oil and Gas Permitting/Bonding, Orphan Well Plugging","This program funds the plugging of wells in which no responsible owner exists. The orphan wells are plugged via a formal bidding process, landowner grants or emergency plugging projects.",,Mike McCormac,mike.mccormac@dnr.state.oh.us,614-265-6898,"2045 Morse Road, Building F-2",Columbus,OH,43229-6693,40.0594,-82.9649,Government,Municipality
,"ODNR, Division of Mineral Resources Management, Oil and Gas Permitting/Bonding, Orphan Well Plugging",Protection of ground water resources by regulating the disposal of brine and waste products from oil and gas drilling and production activities.,,Tom Tomastik,tom.tomastik@dnr.state.oh.us,614-265-1032,"2045 Morse Road, Building F-2",Columbus,OH,43229-6693,40.0594337,-82.9649651,Government,Municipality
,"ODNR, Office of Information Technology",GIS Coordinator,,Donovan Powers,donovan.powers@dnr.state.oh.us,614-265-6772,"2045 Morse Road, Building I-2",Columbus,OH,43229-6693,40.0594337,-82.9649651,Government,Municipality
,"ODNR, The Division of Soil and Water Resources (DSWR)","Organization, Mission, Vision",,Karl Gebhardt,karl.gebhardt@dnr.state.oh.us,614-265-6610,"2045 Morse Road, Building B-3",Columbus,OH,43229,40.0594337,-82.9649651,Government,Municipality
,Ohio Citizen Action,,http://www.ohiocitizen.org,,,513-221-2100,"2330 Victory Parkway, # 1200",Cincinnati,OH,45206,39.1238068,-84.484426,Advocacy,Municipality
,Ohio Citizen Action,,http://www.ohiocitizen.org,Nathan Rutz,nrutz@ohiocitizen.org,216-861-5200,"614 West Superior Avenue, # 1200",Cleveland,OH,44113,41.4979302,-81.6975447,Advocacy,Municipality
,Ohio Department of Natural Resources,Division of Oil and Gas Resources Management,,Andrew Adgate,Andrew.Adgate@dnr.state.oh.us,614-265-6673,"2045 Morse Road, F-2",Columbus,OH,43229-6693,40.0593359,-82.9654032,Government,Municipality
,Ohio Department of Natural Resources,Division of Soil and Water Resources,http://www.dnr.state.oh.us,A. Wayne Jones,Wayne.jones@dnr.state.oh.us,614-265-1075,"2045 Morse Road, B-2",Columbus,OH,43229-6693,40.0593359,-82.9654032,Government,Municipality
,Ohio Department of Natural Resources,"Ohio Natural Heritage Program, Division of Wildlife",,Greg Schneider,greg.schneider@dnr.state.oh.us,614-265-6452,"2045 Morse R., Bldg. G-3",Columbus,OH,43229-6693,40.0594337,-82.9649651,Government,Municipality
,Ohio Department of Natural Resources,"Diverse and comprehensive programs address the environmental and safety aspects of the coal and mineral mining, and oil and gas extraction industries, while maintaining high standards of regulatory effectiveness. The division also plugs abandoned oil and gas wells and restores abandoned mine land, enforces mining safety laws, ensures protection of freshwater resources, and maintains a database of oil and gas well owners.",http://www.ohiodnr.com/mineral/tabid/10352/Default.aspx,"Tim Jackson, Program Administrator",minerals@dnr.state.oh.us,614-265-6922,"2045 Morse Road, Building F-2",Columbus,OH,43229,40.085313,-82.97326,Government,Zip code
,Ohio Department of Natural Resources,Ohio Earthquake Information Center,,,,740-548-5979,3307 South Old State Road,Delaware,OH,43015,40.2351583,-82.9869336,Government,Municipality
,Ohio Environmental Council,Water Policy & Environmental Health,,Melanie Houston,melanie@theoec.org,614-487-7506,"1207 Grandview Avenue, Suite 201",Columbus,OH,43212-3449,39.9823323,-83.0450845,Advocacy,Municipality
,Ohio Environmental Protection Agency,Division of Surface Water,,Brian Gara,brian.gara@epa.state.oh.us,614-836-8787,4675 Homer Ohio Lane,Groveport,OH,43125,39.87413,-82.879587,Government,Municipality
,Ohio EPA,Public Interest Center,,Amber Kent Finkelstein,Amber.Finkelstein@epa.state.oh.us,614-644-2160,"50 West Town Street, Suite 700",Columbus,OH,43216-1049,39.958751,-83.000786,Government,Municipality
,Ohio Farm Bureau Federation (OFBF),Policy & Politics,,Dale Arnold,,614-249-2400,"280 North High Street, 6th Floor",Columbus,OH,43215,39.967878,-83.001709,Advocacy,Municipality
,Ohio League of Conservation Voters,,,Matt A. Nisenoff,,,136 Mill Street,Gahanna,OH,43230,40.039963,-82.87855,Advocacy,Zip code
,Ohio Office of Community Development,Fracking Community Outreach/Extension,,Beverly Cooper,Beverly.Cooper@development.ohio.gov,614-752-9302,77 South High Street,Columbus,OH,43215,39.9605654,-83.0003374,Government,Municipality
,Ohio Oil and Gas Commission,Multi-sector policy advisory council,,Linda Osterman,Linda.Osterman@dnr.state.oh.us,614-262-1269,"2045 Morse Road, Building H-3",Columbus,OH,43229,40.0594337,-82.9649651,Industry,Municipality
,Ohio State Representative,"District 60, Youngstown",,Robert F. Hagan,,614-466-9435,"77 South High Street, 10th Floor",Columbus,OH,43215-6111,39.9605654,-83.0003374,Government,Municipality
,Ohio State Representative,"District 31, Youngstown",,Denise Driehaus,,614-466-5786,"77 South High Street, 10th Floor",Columbus,OH,43215-6111,39.9605654,-83.0003374,Government,Municipality
,Ohio State Representative,"District 60, Youngstown",,Tracy Maxwell Heard,,614-466-8010,"77 South High Street, 14th Floor",Columbus,OH,43215-6111,39.9605654,-83.0003374,Government,Municipality
,Ohio State Representative,"District 60, Youngstown",,Nickie J. Antonio,,614-466-5921,"77 South High Street, 11th Floor",Columbus,OH,43215-6111,39.9605654,-83.0003374,Government,Municipality
,Ohio State Representative,"District 60, Youngstown",,Teresa Fedor,,614-466-6017,"77 South High Street, 10th Floor",Columbus,OH,43215-6111,39.9605654,-83.0003374,Government,Municipality
,Ohio Valley Environmental Coalition,"OVEC's mission is to organize and maintain a diverse grassroots organization dedicated to the improvement and preservation of the environment through education, grassroots organizing and coalition building, leadership development and media outreach.",http://www.ohvec.org/,,carol@ohvec.org,304-522-0246,6753,Huntington,WV,25773,38.413384,-82.277401,Advocacy,Zip code
,Oil & Gas Accountability Project,Earthworks' Oil & Gas Accountability Project serves drilling impacted communities around the country.,http://www.earthworksaction.org/reform_governments/oil_gas_accountability_project,,,,,,CO,,38.9985008,-105.5479965,Advocacy,State
,PA Council of Trout Unlimited,"Since its founding in 1959, Trout Unlimited has played the leading role in protecting one of America's last great treasures?our nation's trout and salmon populations. From the beginning, TU was guided by the principle that ?if we take care of the fish, t",http://www.patrout.org/About.aspx,,,,,State College,PA,,40.7947,-77.85787,Advocacy,Municipality
,PA Department of Conservation & Natural Resources (DCNR),"PennsylvaniaÂÂs outdoors offer activities for everyone -- from the tame to the extreme. Learn about events, seasonal fun, guided programs, and park reservations.",http://www.dcnr.state.pa.us/index.aspx,"Tom Corbett, Governor",webdcnr@state.pa.us,717-783-3323," 8767, 400 Market Street",Harrisburg,PA,17105,40.278498,-76.875207,Government,Zip code
,PA Environmental Council (PEC),"PEC protects and restores the natural and built environments through innovation, collaboration, education and advocacy. PEC believes in the value of partnerships with the private sector, government, communities and individuals to improve the quality of life for Pennsylvanians.",http://www.pecpa.org/,"Paul King, President and Chief Executive Officer",,717-230-8044,"130 Locust Street, Suite 200",Harrisburg,PA,17101,40.261839,-76.88279,Advocacy,Zip code
,PA Environmental Defense Foundation,"The mission is to aid, assist and educate the people of Pennsylvania by advocating and enforcing their rights to a clean environment,",http://www.pedf.org/,"Ron Evans, Chair",,,371,Camp Hill,PA,17001,40.21604,-76.924996,Industry,Zip code
,PA Land Trust Association,"The Pennsylvania Land Trust Association seeks to protect PennsylvaniaÂÂs special placesÂÂthe farms, forests, parks and other green spaces that people loveÂÂthe places that help to ensure healthy, prosperous and secure communities.",http://conserveland.org/,,info@conserveland.org,717-230-8560,"105 Locust Street, Suite 300",Harrisburg,PA,17101,40.261839,-76.88279,Advocacy,Zip code
,PA League of Women Voters,"The League of Women Voters, a nonpartisan political organization, encourages informed and active participation in government, works to increase understanding of major public policy issues, and influences public policy through education and advocacy.",http://palwv.org/,"Olivia Thorne, President",info@palwv.org,717-234-1576,226 Forster Street,Harrisburg,PA,17102,40.272839,-76.89053,Advocacy,Zip code
,Pace University,Pace Law School,http://www.elizabethburleson.com/Publication.html,Elizabeth Burleson,eburleson@law.pace.edu,914-422-4438,78 North Broadway,White Plains,NY,10603,41.03835,-73.766071,Industry,Municipality
,Pace University,"Pace Law School, Land Use Law Center",http://www.law.pace.edu/landuse,John R. Nolon,jnolon@law.pace.edu,914-422-4090,78 North Broadway,White Plains,NY,10603,41.03835,-73.766071,Industry,Municipality
,Penn State Broadcasting,,http://wpsx.psu.edu/,Casey Fenton,cfenton@psu.edu,814-865-3333,"WPSU/Penn State Public Broadcasting, 238 Outreach Building, 100 Innovation Boulevard",University Park,PA,16802,40.832856,-77.8415251,Press,Municipality
,Penn State Center for Dirt and Gravel Road Studies,Marcellus Gas and Road Impacts Study,http://www.dirtandgravel.psu.edu,Tim Ziegler,tmz115@psu.edu,866-668-6683,215 Transportation Research Building,University Park,PA,16802,40.7961,-77.8627,Education,Municipality
,Penn State Center for Dirt and Gravel Road Studies,"The Center for Dirt and Gravel Road Studies is an independently-funded non-profit entity under the Larson Transportation Institute at Penn State University. Created in 2000, the Center specializes in education, outreach, research, and project oversight related to the Environmentally Sensitive Maintenance of unpaved roads and trails. These ""ESM"" practices stress long-term solutions to create more environmentally and economically sustainable unpaved roads.",http://www.dirtandgravel.psu.edu,Steve Bloser,dirtandgravel@psu.edu,(814) 865-5355,215 Transportation Research Building,University Park,PA,16802,40.806956,-77.86281,Education,Zip code
,Penn State Extension,"In support of its efforts to disseminate research-based information on natural-gas-related issues to Pennsylvanians, Penn State Cooperative Extension has joined with several key business firms to form the Penn State Marcellus Educational Consortium. The group's goals are to provide expertise on Marcellus topics and to facilitate discussions among community members, business leaders and others.",http://extension.psu.edu/naturalgas/consortium,"Tim W. Kelsey, State Program Leader",tkelsey@psu.edu,814-865-2541,201 Agricultural Administration Building,State College,PA,16802,40.806956,-77.86281,Education,Zip code
,Penn State University,"Agriculture Economics, Sociology, and Education",,Charles Abdalla,Cabdalla@psu.edu,814-865-2562,"201-B Armsby, Penn State University",University Park,PA,16802,40.7961111,-77.8627778,Education,Municipality
,PennEnvironment,"PennEnvironment is a statewide, citizen-based environmental advocacy organization. They research the challenges confronting PennsylvaniaÂÂs environment and educate the public about whatÂÂs at stake.",http://www.pennenvironment.org/,"David Masur, Executive Director",,412-521-0943,1831 Murry Ave. Ste 219,Pittsburgh,PA,15217,40.430919,-79.92569,Advocacy,Zip code
,PennFuture,"PennFuture works to create a just future where nature, communities and the economy thrive. They enforce environmental laws and advocate for the transformation of public policy, public opinion and the marketplace to restore and protect the environment and safeguard public health.",http://www.pennfuture.org/,"George Jugovic Jr., President and CEO",jugovic@pennfuture.org,412-258-6685,425 6th Ave. Ste 2770,Pittsburgh,PA,15219,40.443819,-79.98067,Advocacy,Zip code
,Pennsylvania Association for Sustainable Agriculture (PASA),"In existence since 1992, the Pennsylvania Association for Sustainable Agriculture (PASA) continues working to bring farmers together to learn from each other, and to build relationships between those farmers and consumers looking for fresh, wholesome, locally and sustainably produced food.",http://www.pasafarming.org/,Brian Snyder - Executive Director,brian@pasafarming.org,412-365-2985,P.O. Box 419,Millheim,PA,16854,40.891594,-77.47605,Advocacy,Zip code
,Pennsylvania Campaign for Clean Water,"Formed in 2002, the Pennsylvania Campaign for Clean Water is a coalition of over 140 environmental, conservation, sporting, and religious groups from all corners of the state that speaks in one voice in support of federal and state policies to protect and restore PAÂs water resources.",http://www.pacleanwatercampaign.org/,The Campaign is led by a Steering Committee that includes representatives from key member groups. All members of the Campaign are invited to an annual strategy meeting at which we review progress from the past year and select key issues for the coming year.,,,,,PA,,40.8967018,-77.8388977,Advocacy,State
,Physicians for Social Responsibility Philadelphia,,http://www.psrphila.org,,,,1501 Cherry Street,Philadelphia,PA,19102,39.955903,-75.165134,Advocacy,Address
,Plant Place Landscaping,,,William Darrin,wwdmmd@zoominternet.net,,,Meadville,PA,16335,41.6414438,-80.1514484,Unknown,Municipality
,Poland Ohio Fracking - Sisters Against Subterranean Sludge (SASS),"SASS -- ""Sisters Against Subterranean Sludge"" was formed recently in Poland Village, Ohio, by a group of concerned neighbors living next to Poland Forest. We felt that decisions might be made too quickly in our village to move ahead with fracking, when",http://www.polandohiofracking.com/,,,,,Poland,OH,,41.023494,-80.613089,Advocacy,Municipality
,Policy Matters Ohio,Columbus Office,http://www.policymattersohio.org,Amanda Woodrum,awoodrum@policymattersohio.org,216-361-9801,85 East Gay Street,Columbus,OH,43215,39.9637833,-82.998434,Advocacy,Municipality
,Policy Matters Ohio,Cleveland Office,http://www.policymattersohio.org,,,216-361-9801,3631 Perkins Avenue,Cleveland,OH,44114,41.5063351,-81.662239,Advocacy,Municipality
,Post Carbon Institute,,http://www.postcarbon.org,,,707-823-8700,613 4th Street,Santa Rosa,CA,95404,38.4407674,-122.713619,Advocacy,Municipality
4/28/2014 16:31,"Preserve our Paradise, Inc.",,http://preserveourparadise.org/,,,,,,FL,,28.4574,-82.4019,Advocacy,State
,Pro Publica,Hydraulic Fracturing Investigative Journalist,http://www.propublica.org/site/author/Abrahm_Lustgarten,Abrahm Lustgarten,Abrahm.Lustgarten@propublica.org,212-514-5250,55 Broadway,NY,NY,10006,40.706777,-74.012854,Press,Municipality
,ProPublica (Journalism in the Public Interest),"It is an independent, non-profit newsroom that produces investigative journalism in the public interest. Their work focuses on truly important stories, stories with ""moral force"". They do this by producing journalism that shines a light on the failures of those with power to vindicate the trust placed in them.",http://www.propublica.org/about/,"Paul Steiger, Editor-in-chief",info@propublica.org,212-514-5250,One Exchange Plaza 55 Broadway 23 Floor,NY,NY,10006,40.707904,-74.01342,Press,Zip code
,Protecting Our Waters,"Protecting Our Waters is a Philadelphia-based grassroots nonprofit organization committed to protecting the Delaware, Susquehanna and Ohio River Basins Â the state of Pennsylvania Â and our region from unconventional gas drilling and other threats to our drinking water, environment, and public health.",http://protectingourwaters.wordpress.com/about/,Iris Marie Bloom,protectingourwaters@gmail.com,215-690-1278,4808 Windsor Avenue,Philadelphia,PA,19143,39.944162,-75.22718,Advocacy,Zip code
,Public Employees for Ennvironmental Responsibility (PEER),,http://www.peer.org,Jeff Ruch,,202-265-7337,2000 P Street,Washington,DC,20036,38.906778,-77.04148,Advocacy,Zip code
,Public News Service - OH,Hydraulic Fracturing Investigative Journalist,http://www.publicnewsservice.org,Mary Kuhlman,onc@publicnewsservice.org,800-317-6698,,Cincinnati,OH,.,39.1031182,-84.5120196,Press,Municipality
,Public.Resource.Org,Government Information Accessibility,http://www.public.resource.org,,carl@media.org,,1005 Gravenstein Highway N,Sebastopol,CA,95472,38.411281,-122.840978,Industry,Municipality
,Rachel Carson Homestead Association,Our mission is to operate a world-class museum dedicated to Rachel CarsonÂs life and legacy and to inspire all people to live in harmony with nature. The Rachel Carson Homestead is the only site in the world dedicated to interpreting Rachel CarsonÂs legacy to the public.,http://rachel_carson_homestead.myupsite.com/,,,724-274-5459,613 Marion Avenue,Springdale,PA,15144,40.543053,-79.78223,Education,Zip code
,Responsible Drilling Alliance,RDA is an education and advocacy coalition. We seek to educate ourselves and the public about deep shale gas drilling and all of its ramifications.,http://responsibledrillingalliance.org/index.php/contact-us,,http://responsibledrillingalliance.org/index.php/contact-us,570-971-5602,Responsible Drilling Alliance PO Box 502,Williamsport,PA,17703,41.33275,-77.023601,Education,Zip code
,Richland County Land Lease Alliance,Informing landowners as to rights and expectations when offered lease,,E Steven Rhodes,,,,Shelby,OH,44875,40.7566723,-82.5185837,Education,Municipality
,Rochester Institute of Technology,Marcellus Shale soil chemistry influences,,Karl Korfmacher,kfkscl@rit.edu,585-475-5554,"Gosnell 08, Room 2102, 85 Lomb Memorial Drive",Rochester,NY,14623-5603,43.0846975,-77.6745538,Education,Municipality
,Sadler Law Firm,,http://www.sadler.com,"George N. Inman, Jr.",Utica Shale Leasing Law,724-271-0118,"380 Southpointe Boulevard, Plaza II Suite 300",Canonsburg,PA,15317-8561,40.4172871,-82.907123,Industry,Municipality
,San Francisco Baykeeper,"Since 1989, Baykeeper has been the pollution watchdog for San Francisco Bay, using science and advocacy to strengthen clean water laws and hold polluters accountable.",http://baykeeper.org/,,deb@baykeeper.org,(415) 856-0444,"785 Market Street, Suite 850",San Francisco,CA,94103,37.772329,-122.41087,Advocacy,Zip code
,Sane Energy Project/Food Not Fracking,To replace shale gas infrastructure with renewable infrastructure,www.saneenergyproject.org,clare donohue,clare@saneenergyproject.org,,"459 Columbus Ave, #512",ny,ny,10024,40.783715,-73.973079,Advocacy,Address
,Save Lake Arthur Watershed,"We are a group of residents of Franklin Township, Butler County, PA dedicated to protecting the watershed for Lake Arthur and Moraine State Park from fracking.",http://savelakearthurwatershed.weebly.com/,,savelakearthurwatershed@gmail.com,,,Prospect,PA,16052,40.8988,-80.0613,Advocacy,Zip code
,Senator Sherrod Brown's Office,Northeast Ohio,http://www.brown.senate.gov,Sarah J. Lowry,Sarah_Lowry@brown.senate.gov,216-522-7272,1301 East 9th Street,Cleveland,OH,44114,41.5053313,-81.6908491,Government,Municipality
,Shadbush Environmental Justice Project,The shadbush collective formed in the spring of 2010 out of a desire to develop a more radical response to the climate crisis and environmental injustice as they manifest in Pittsburgh and throughout our region.  In many ways we came together around the,http://shadbushcollective.org/,,info@shadbushcollective.org,,,Williamsport,PA,,41.240944,-77.001407,Advocacy,Municipality
,Shaleshock Action Alliance,"Shaleshock Alliance is a major outreach and information hub about fracking in the Southern Tier and Finger Lakes region, connecting people to the growing movement to protect our communities and environment.",http://shaleshock.org/,,shaleshockoutreach@gmail.com,,115 E. Martin Luther King St.,Ithaca,NY,14850,42.449454,-76.49685,Advocacy,Zip code
,Sherrod Brown's Senior Appalachian Regional Representative,,,Jeanne Wilson,Jeanne_Wilson@brown.senate.gov,740-251-3284,,Marietta,OH,45750,39.415352,-81.4548436,Government,Municipality
,Sierra Club,Angeles Chapter,http://angeles2.sierraclub.org/,,angeles.chapter@sierraclub.org,213-387-4287,"3435 Wilshire Blvd, #660",Los Angeles,CA,90010,34.062709,-118.31481,Advocacy,Zip code
